Camera Start Date,Camera End Date,CameraName,Location Code,Image#,Image Quality,Species,SpeciesCode,# of Individuals,Date,Notes
"Folder Start Date (Date on folder, format YYYY-MM-DD)","Folder End Date (Date of last image in folder, can fill out at end (YYYY-MM-DD)","Can fill this out exactly how it looks on the folder, no spaces then drag down the column at end","3 Letter code for locations-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",Please start with IMG in the image name,"1 High, 2 Okay, 3 Bad/can barely see animal","coyote, human, raccoon, skunk, opossum, woodrat, bobcat, bird (note species if possible), squirrel, ground squirrel, vehicle, or unknown","Four letter code for species-DO NOT ENTER, THIS WILL FILL AUTOMATICALLY",number of animals seen in image,Date of image (YYYYMMDD),"Please record anything noteworthy-prey, young ones, weather problems, if it's a cool picture for outreach or instagram please put ""COOL"" in the notes column"
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0001,1,human,HOSA,1,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0002,1,human,HOSA,3,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0003,1,human,HOSA,2,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0004,2,coyote,CAFA,1,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0005,2,coyote,CAFA,1,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0007,2,coyote,CAFA,1,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0008,2,coyote,CAFA,1,20241126,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0010,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0011,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0012,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0013,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0014,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0015,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0016,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0017,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0018,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0019,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0020,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0021,1,bird,BIRD,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0022,2,coyote,CAFA,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0025,2,coyote,CAFA,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0026,2,coyote,CAFA,1,20241127,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0028,1,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0029,1,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0030,1,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0031,3,unknown,UNK,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0032,3,unknown,UNK,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0033,3,unknown,UNK,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0034,2,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0035,2,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0036,2,coyote,CAFA,1,20241128,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0037,1,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0038,1,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0039,1,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0040,1,squirrel,SCIU,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0041,1,squirrel,SCIU,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0042,1,squirrel,SCIU,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0043,2,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0046,2,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0049,2,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0050,2,coyote,CAFA,1,20241129,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0052,2,coyote,CAFA,1,20241130,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0053,2,coyote,CAFA,1,20241130,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0054,2,coyote,CAFA,1,20241130,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0058,1,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0059,1,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0060,1,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0061,1,squirrel,SCIU,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0062,1,squirrel,SCIU,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0063,1,squirrel,SCIU,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0064,2,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0065,2,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0066,3,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0067,1,squirrel,SCIU,1,20241202,so cute
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0068,1,squirrel,SCIU,1,20241202,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0069,1,squirrel,SCIU,1,20241202,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0070,2,coyote,CAFA,1,20241201,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0071,2,coyote,CAFA,1,20241202,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0072,3,coyote,CAFA,1,20241202,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0073,2,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0075,2,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0076,1,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0077,1,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0078,1,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0082,2,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0083,2,coyote,CAFA,1,20241203,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0085,3,coyote,CAFA,1,20241205,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0086,2,coyote,CAFA,1,20241205,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0088,1,squirrel,SCIU,1,20241205,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0091,3,coyote,CAFA,1,20241205,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0094,2,coyote,CAFA,1,20241205,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0097,2,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0100,1,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0103,1,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0106,2,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0109,3,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0112,3,coyote,CAFA,1,20241206,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0115,3,coyote,CAFA,1,20241207,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0116,3,unknown,UNK,1,20241207,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0118,2,squirrel,SCIU,1,20241207,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0121,2,coyote,CAFA,1,20241208,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0122,2,coyote,CAFA,1,20241208,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0124,3,unknown,UNK,1,20241208,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0127,2,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0128,3,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0129,2,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0130,3,unknown,UNK,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0131,3,unknown,UNK,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0132,3,unknown,UNK,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0133,3,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0134,3,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0139,3,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0140,3,coyote,CAFA,1,20241209,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0142,3,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0143,2,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0144,2,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0145,3,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0146,2,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0147,2,coyote,CAFA,2,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0148,3,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0149,2,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0150,2,coyote,CAFA,1,20241210,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0151,3,coyote,CAFA,1,20241211,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0154,1,squirrel,SCIU,1,20241211,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0157,3,rabbit,RASP,1,20241211,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0158,3,rabbit,RASP,1,20241211,
2024-11-26,2025-01-15,BonitaCanyon1,BC1,IMG_0159,3,rabbit,RASP,1,20241211,
